h_m_s,HSD
2019-04-04 13:41:48,-4.4923724433917634e-169
2019-04-04 13:41:49,-4.4923724433917634e-169
2019-04-04 13:41:50,-4.4923724433917634e-169
2019-04-04 13:41:51,-4.4923724433917634e-169
2019-04-04 13:41:52,-4.4923724433917634e-169
2019-04-04 13:41:53,-4.4923724433917634e-169
2019-04-04 13:41:54,-4.4923724433917634e-169
2019-04-04 13:41:55,-4.4923724433917634e-169
2019-04-04 13:41:56,-4.4923724433917634e-169
2019-04-04 13:41:57,-4.4923724433917634e-169
2019-04-04 13:41:58,-4.4923724433917634e-169
2019-04-04 13:41:59,-4.4923724433917634e-169
2019-04-04 13:42:00,-4.4923724433917634e-169
2019-04-04 13:42:01,-4.4923724433917634e-169
2019-04-04 13:42:02,-4.4923724433917634e-169
2019-04-04 13:42:03,-4.4923724433917634e-169
2019-04-04 13:42:04,-4.4923724433917634e-169
2019-04-04 13:42:05,-4.4923724433917634e-169
2019-04-04 13:42:06,-4.4923724433917634e-169
2019-04-04 13:42:07,-4.4923724433917634e-169
2019-04-04 13:42:08,-4.4923724433917634e-169
2019-04-04 13:42:09,-4.4923724433917634e-169
2019-04-04 13:42:10,-2.3660084088269566e-174
2019-04-04 13:42:11,-9.464063542072066e-175
2019-04-04 13:42:12,-9.464063542072066e-175
2019-04-04 13:42:13,-9.464063542072066e-175
2019-04-04 13:42:14,-9.464063542072066e-175
2019-04-04 13:42:15,-2.3440442208843744e-175
2019-04-04 13:42:16,-1.1012748986139315e-175
2019-04-04 13:42:17,-1.1012748986139315e-175
2019-04-04 13:42:18,-5.021982215491857e-176
2019-04-04 13:42:19,-2.7654436956288955e-176
2019-04-04 13:42:20,-1.651999046625337e-176
2019-04-04 13:42:21,-1.651999046625337e-176
2019-04-04 13:42:22,-1.651999046625337e-176
2019-04-04 13:42:23,-1.651999046625337e-176
2019-04-04 13:42:24,-1.651999046625337e-176
2019-04-04 13:42:25,-1.651999046625337e-176
2019-04-04 13:42:26,-1.651999046625337e-176
2019-04-04 13:42:27,-2.0966385841382885e-177
2019-04-04 13:42:28,-9.077822780324126e-178
2019-04-04 13:42:29,-0.45961851285674077
2019-04-04 13:42:30,-0.45961851285674077
2019-04-04 13:42:31,-0.45961851285674077
2019-04-04 13:42:32,-0.45961851285674077
2019-04-04 13:42:33,-0.45961851285674077
2019-04-04 13:42:34,-0.45961851285674077
2019-04-04 13:42:35,-0.07371183549988689
2019-04-04 13:42:36,-0.03262400066041367
2019-04-04 13:42:37,-0.017767926872966935
2019-04-04 13:42:38,-0.01055692581432606
2019-04-04 13:42:39,-0.006562128262549527
2019-04-04 13:42:40,-0.006562128262549527
2019-04-04 13:42:41,-0.003544390913372709
2019-04-04 13:42:42,-0.002097511509034151
2019-04-04 13:42:43,-0.002097511509034151
2019-04-04 13:42:44,-0.002097511509034151
2019-04-04 13:42:45,-0.002097511509034151
2019-04-04 13:42:46,-0.0006839867231657049
2019-04-04 13:42:47,-0.00034014663336206315
2019-04-04 13:42:48,-0.00019392072554537778
2019-04-04 13:42:49,-0.00011789667920366931
2019-04-04 13:42:50,-7.423966587996451e-05
2019-04-04 13:42:51,-4.772878780565946e-05
2019-04-04 13:42:52,-3.1080555305720136e-05
2019-04-04 13:42:53,-2.0404594747083877e-05
2019-04-04 13:42:54,-1.3466247384679312e-05
2019-04-04 13:42:55,-1.3466247384679312e-05
2019-04-04 13:42:56,-7.629227684598606e-06
2019-04-04 13:42:57,-4.623260671560328e-06
2019-04-04 13:42:58,-2.905865090735541e-06
2019-04-04 13:42:59,-2.905865090735541e-06
2019-04-04 13:43:00,-2.905865090735541e-06
2019-04-04 13:43:01,-2.905865090735541e-06
2019-04-04 13:43:02,-2.905865090735541e-06
2019-04-04 13:43:03,-7.605306864498848e-07
2019-04-04 13:43:04,-3.60883030522417e-07
2019-04-04 13:43:05,-3.60883030522417e-07
2019-04-04 13:43:06,-1.6536503558757087e-07
2019-04-04 13:43:07,-9.122757902336782e-08
2019-04-04 13:43:08,-5.4545992992694564e-08
2019-04-04 13:43:09,-5.4545992992694564e-08
2019-04-04 13:43:10,-5.4545992992694564e-08
2019-04-04 13:43:11,-5.4545992992694564e-08
2019-04-04 13:43:12,-5.4545992992694564e-08
2019-04-04 13:43:13,-5.4545992992694564e-08
2019-04-04 13:43:14,-5.4545992992694564e-08
2019-04-04 13:43:15,-5.4545992992694564e-08
2019-04-04 13:43:16,-4.824903263982479e-09
2019-04-04 13:43:17,-4.824903263982479e-09
2019-04-04 13:43:18,-1.5814301101885489e-09
2019-04-04 13:43:19,-1.5814301101885489e-09
2019-04-04 13:43:20,-1.5814301101885489e-09
2019-04-04 13:43:21,-1.5814301101885489e-09
2019-04-04 13:43:22,-3.5915520314649915e-10
2019-04-04 13:43:23,-1.6632651647961492e-10
2019-04-04 13:43:24,-9.213016131300682e-11
2019-04-04 13:43:25,-5.5196422736765684e-11
2019-04-04 13:43:26,-5.5196422736765684e-11
2019-04-04 13:43:27,-2.902028299204666e-11
2019-04-04 13:43:28,-2.902028299204666e-11
2019-04-04 13:43:29,-2.902028299204666e-11
2019-04-04 13:43:30,-1.1159299340734874e-11
2019-04-04 13:43:31,-5.802469474974151e-12
2019-04-04 13:43:32,-3.373432227227588e-12
2019-04-04 13:43:33,-2.0722194580432853e-12
2019-04-04 13:43:34,-1.3127064623817424e-12
2019-04-04 13:43:35,-1.3127064623817424e-12
2019-04-04 13:43:36,-1.3127064623817424e-12
2019-04-04 13:43:37,-1.3127064623817424e-12
2019-04-04 13:43:38,-1.3127064623817424e-12
2019-04-04 13:43:39,-1.3127064623817424e-12
2019-04-04 13:43:40,-1.3127064623817424e-12
2019-04-04 13:43:41,-1.3127064623817424e-12
2019-04-04 13:43:42,-1.2630016263303143e-13
2019-04-04 13:43:43,-1.2630016263303143e-13
2019-04-04 13:43:44,-1.2630016263303143e-13
2019-04-04 13:43:45,-3.1183075377598295e-14
2019-04-04 13:43:46,-1.4642312009209905e-14
2019-04-04 13:43:47,-8.1542758445013e-15
2019-04-04 13:43:48,-8.1542758445013e-15
2019-04-04 13:43:49,-8.1542758445013e-15
2019-04-04 13:43:50,-3.2676327419747134e-15
2019-04-04 13:43:51,-1.7207933924512787e-15
2019-04-04 13:43:52,-1.0062687443767582e-15
2019-04-04 13:43:53,-6.200647359434909e-16
2019-04-04 13:43:54,-3.9351771999714787e-16
2019-04-04 13:43:55,-2.542037797037748e-16
2019-04-04 13:43:56,-1.660341569119659e-16
2019-04-04 13:43:57,-1.0921364517510897e-16
2019-04-04 13:43:58,-7.216763555347267e-17
2019-04-04 13:43:59,-4.7830824925596585e-17
2019-04-04 13:44:00,-4.7830824925596585e-17
2019-04-04 13:44:01,-4.7830824925596585e-17
2019-04-04 13:44:02,-4.7830824925596585e-17
2019-04-04 13:44:03,-4.7830824925596585e-17
2019-04-04 13:44:04,-4.7830824925596585e-17
2019-04-04 13:44:05,-4.7830824925596585e-17
2019-04-04 13:44:06,-7.073657029342905e-18
2019-04-04 13:44:07,-3.1049782509771986e-18
2019-04-04 13:44:08,-1.6860442821375347e-18
2019-04-04 13:44:09,-1.6860442821375347e-18
2019-04-04 13:44:10,-1.6860442821375347e-18
2019-04-04 13:44:11,-1.6860442821375347e-18
2019-04-04 13:44:12,-1.6860442821375347e-18
2019-04-04 13:44:13,-1.6860442821375347e-18
2019-04-04 13:44:14,-2.717075167884964e-19
2019-04-04 13:44:15,-2.717075167884964e-19
2019-04-04 13:44:16,-2.717075167884964e-19
2019-04-04 13:44:17,-2.717075167884964e-19
2019-04-04 13:44:18,-5.1786623947300105e-20
2019-04-04 13:44:19,-2.3389420954307572e-20
2019-04-04 13:44:20,-1.283352385997409e-20
2019-04-04 13:44:21,-1.283352385997409e-20
2019-04-04 13:44:22,-6.367575005599161e-21
2019-04-04 13:44:23,-6.367575005599161e-21
2019-04-04 13:44:24,-6.367575005599161e-21
2019-04-04 13:44:25,-6.367575005599161e-21
2019-04-04 13:44:26,-6.367575005599161e-21
2019-04-04 13:44:27,-6.367575005599161e-21
2019-04-04 13:44:28,-6.367575005599161e-21
2019-04-04 13:44:29,-6.367575005599161e-21
2019-04-04 13:44:30,-6.367575005599161e-21
2019-04-04 13:44:31,-6.367575005599161e-21
2019-04-04 13:44:32,-6.367575005599161e-21
2019-04-04 13:44:33,-6.367575005599161e-21
2019-04-04 13:44:34,-6.367575005599161e-21
2019-04-04 13:44:35,-6.367575005599161e-21
2019-04-04 13:44:36,-6.367575005599161e-21
2019-04-04 13:44:37,-6.367575005599161e-21
2019-04-04 13:44:38,-6.367575005599161e-21
2019-04-04 13:44:39,-6.367575005599161e-21
2019-04-04 13:44:40,-6.367575005599161e-21
2019-04-04 13:44:41,-6.367575005599161e-21
2019-04-04 13:44:42,-6.367575005599161e-21
2019-04-04 13:44:43,-6.367575005599161e-21
2019-04-04 13:44:44,-1.6887479418509526e-24
2019-04-04 13:44:45,-1.6887479418509526e-24
2019-04-04 13:44:46,-1.6887479418509526e-24
2019-04-04 13:44:47,-3.860785177483362e-25
2019-04-04 13:44:48,-1.7898261761405997e-25
2019-04-04 13:44:49,-9.918060175748123e-26
2019-04-04 13:44:50,-5.943239733905514e-26
2019-04-04 13:44:51,-3.7118595571827237e-26
2019-04-04 13:44:52,-2.374567824897589e-26
2019-04-04 13:44:53,-2.374567824897589e-26
2019-04-04 13:44:54,-1.311466927173357e-26
2019-04-04 13:44:55,-1.311466927173357e-26
2019-04-04 13:44:56,-1.311466927173357e-26
2019-04-04 13:44:57,-5.222892658905787e-27
2019-04-04 13:44:58,-2.745094280121031e-27
2019-04-04 13:44:59,-2.745094280121031e-27
2019-04-04 13:45:00,-1.3277841955594556e-27
2019-04-04 13:45:01,-1.3277841955594556e-27
2019-04-04 13:45:02,-6.142344153708686e-28
2019-04-04 13:45:03,-6.142344153708686e-28
2019-04-04 13:45:04,-2.7804137197563275e-28
