h_m_s,SMU.UN
2019-04-04 15:20:39,-4.929801602570957e-23
2019-04-04 15:20:40,-1.6432672008569857e-23
2019-04-04 15:20:41,-5.477557336189953e-24
2019-04-04 15:20:42,-1.8258524453966508e-24
2019-04-04 15:20:43,-6.086174817988836e-25
2019-04-04 15:20:44,-2.0287249393296118e-25
2019-04-04 15:20:45,-6.762416464432039e-26
2019-04-04 15:20:46,-2.2541388214773465e-26
2019-04-04 15:20:47,-7.513796071591156e-27
2019-04-04 15:20:48,-2.5045986905303853e-27
2019-04-04 15:20:49,-8.34866230176795e-28
2019-04-04 15:20:50,-2.7828874339226503e-28
2019-04-04 15:20:51,-9.276291446408834e-29
2019-04-04 15:20:52,-3.092097148802945e-29
2019-04-04 15:20:53,-1.0306990496009815e-29
2019-04-04 15:20:54,-3.435663498669938e-30
2019-04-04 15:20:55,-1.1452211662233128e-30
2019-04-04 15:20:56,-3.8174038874110427e-31
2019-04-04 15:20:57,-1.2724679624703476e-31
2019-04-04 15:20:58,-4.2415598749011587e-32
2019-04-04 15:20:59,-1.4138532916337195e-32
2019-04-04 15:21:00,-4.712844305445732e-33
2019-04-04 15:21:01,-1.570948101815244e-33
2019-04-04 15:21:02,-5.23649367271748e-34
2019-04-04 15:21:03,-1.7454978909058267e-34
2019-04-04 15:21:04,-5.818326303019423e-35
2019-04-04 15:21:05,-1.9394421010064742e-35
2019-04-04 15:21:06,-6.464807003354914e-36
2019-04-04 15:21:07,-2.1549356677849712e-36
2019-04-04 15:21:08,-7.183118892616571e-37
2019-04-04 15:21:09,-2.3943729642055234e-37
2019-04-04 15:21:10,-7.981243214018411e-38
2019-04-04 15:21:11,-2.660414404672804e-38
2019-04-04 15:21:12,-8.868048015576013e-39
2019-04-04 15:21:13,-2.9560160051920045e-39
2019-04-04 15:21:14,-9.853386683973348e-40
2019-04-04 15:21:15,-3.284462227991116e-40
2019-04-04 15:21:16,-1.0948207426637052e-40
2019-04-04 15:21:17,-3.649402475545684e-41
2019-04-04 15:21:18,-1.2164674918485614e-41
2019-04-04 15:21:19,-4.0548916394952046e-42
2019-04-04 15:21:20,-1.3516305464984015e-42
2019-04-04 15:21:21,-4.505435154994672e-43
2019-04-04 15:21:22,-1.5018117183315573e-43
2019-04-04 15:21:23,-5.006039061105191e-44
