h_m_s,HQU
2019-04-04 12:02:46,6.3692742892707505e-25
2019-04-04 12:02:47,2.1230914297569167e-25
2019-04-04 12:02:48,7.076971432523055e-26
2019-04-04 12:02:49,2.358990477507685e-26
2019-04-04 12:02:50,7.863301591692283e-27
2019-04-04 12:02:51,2.6211005305640944e-27
2019-04-04 12:02:52,8.73700176854698e-28
2019-04-04 12:02:53,2.9123339228489937e-28
2019-04-04 12:02:54,9.707779742829979e-29
2019-04-04 12:02:55,3.2359265809433263e-29
2019-04-04 12:02:56,1.0786421936477754e-29
2019-04-04 12:02:57,3.595473978825918e-30
2019-04-04 12:02:58,1.198491326275306e-30
2019-04-04 12:02:59,3.994971087584353e-31
2019-04-04 12:03:00,1.3316570291947844e-31
2019-04-04 12:03:01,4.438856763982615e-32
2019-04-04 12:03:02,1.4796189213275383e-32
2019-04-04 12:03:03,4.9320630710917944e-33
2019-04-04 12:03:04,1.6440210236972647e-33
2019-04-04 12:03:05,5.480070078990882e-34
2019-04-04 12:03:06,1.826690026330294e-34
2019-04-04 12:03:07,6.088966754434313e-35
2019-04-04 12:03:08,2.029655584811438e-35
2019-04-04 12:03:09,6.765518616038126e-36
2019-04-04 12:03:10,2.2551728720127087e-36
2019-04-04 12:03:11,7.517242906709029e-37
2019-04-04 12:03:12,2.5057476355696764e-37
2019-04-04 12:03:13,8.352492118565588e-38
2019-04-04 12:03:14,2.784164039521863e-38
2019-04-04 12:03:15,9.28054679840621e-39
2019-04-04 12:03:16,3.0935155994687367e-39
2019-04-04 12:03:17,1.0311718664895788e-39
2019-04-04 12:03:18,3.4372395549652628e-40
2019-04-04 12:03:19,1.1457465183217543e-40
2019-04-04 12:03:20,3.8191550610725143e-41
2019-04-04 12:03:21,1.2730516870241714e-41
2019-04-04 12:03:22,4.243505623413905e-42
2019-04-04 12:03:23,1.4145018744713016e-42
2019-04-04 12:03:24,4.715006248237672e-43
2019-04-04 12:03:25,1.5716687494125575e-43
2019-04-04 12:03:26,5.238895831375192e-44
2019-04-04 12:03:27,1.7462986104583973e-44
2019-04-04 12:03:28,5.820995368194658e-45
2019-04-04 12:03:29,1.9403317893982193e-45
2019-04-04 12:03:30,6.467772631327397e-46
2019-04-04 12:03:31,2.1559242104424658e-46
2019-04-04 12:03:32,7.18641403480822e-47
2019-04-04 12:03:33,2.395471344936073e-47
2019-04-04 12:03:34,7.984904483120244e-48
2019-04-04 12:03:35,2.6616348277067478e-48
2019-04-04 12:03:36,8.872116092355826e-49
2019-04-04 12:03:37,2.9573720307852753e-49
2019-04-04 12:03:38,9.857906769284252e-50
2019-04-04 12:03:39,3.2859689230947507e-50
2019-04-04 12:03:40,1.095322974364917e-50
2019-04-04 12:03:41,3.65107658121639e-51
2019-04-04 12:03:42,1.21702552707213e-51
2019-04-04 12:03:43,4.0567517569070995e-52
2019-04-04 12:03:44,1.3522505856356998e-52
2019-04-04 12:03:45,4.507501952119e-53
2019-04-04 12:03:46,1.5025006507063332e-53
2019-04-04 12:03:47,5.008335502354444e-54
2019-04-04 12:03:48,1.6694451674514813e-54
2019-04-04 12:03:49,5.564817224838271e-55
2019-04-04 12:03:50,1.8549390749460904e-55
2019-04-04 12:03:51,6.183130249820302e-56
2019-04-04 12:03:52,2.061043416606767e-56
2019-04-04 12:03:53,6.870144722022557e-57
2019-04-04 12:03:54,2.2900482406741857e-57
2019-04-04 12:03:55,7.63349413558062e-58
2019-04-04 12:03:56,2.5444980451935398e-58
2019-04-04 12:03:57,8.481660150645132e-59
2019-04-04 12:03:58,2.827220050215044e-59
2019-04-04 12:03:59,9.424066834050146e-60
2019-04-04 12:04:00,3.1413556113500486e-60
2019-04-04 12:04:01,1.0471185371166828e-60
2019-04-04 12:04:02,3.490395123722276e-61
2019-04-04 12:04:03,1.1634650412407587e-61
2019-04-04 12:04:04,3.8782168041358624e-62
2019-04-04 12:04:05,1.2927389347119542e-62
2019-04-04 12:04:06,4.3091297823731806e-63
2019-04-04 12:04:07,1.4363765941243936e-63
2019-04-04 12:04:08,4.7879219804146455e-64
2019-04-04 12:04:09,1.5959739934715485e-64
2019-04-04 12:04:10,5.319913311571828e-65
2019-04-04 12:04:11,1.7733044371906093e-65
2019-04-04 12:04:12,5.911014790635365e-66
2019-04-04 12:04:13,1.9703382635451216e-66
2019-04-04 12:04:14,6.567794211817072e-67
2019-04-04 12:04:15,2.1892647372723576e-67
2019-04-04 12:04:16,7.297549124241192e-68
2019-04-04 12:04:17,2.4325163747470638e-68
2019-04-04 12:04:18,8.108387915823546e-69
2019-04-04 12:04:19,2.702795971941182e-69
2019-04-04 12:04:20,9.009319906470607e-70
2019-04-04 12:04:21,3.003106635490202e-70
2019-04-04 12:04:22,1.0010355451634007e-70
2019-04-04 12:04:23,3.336785150544669e-71
2019-04-04 12:04:24,1.112261716848223e-71
2019-04-04 12:04:25,3.7075390561607437e-72
2019-04-04 12:04:26,1.2358463520535813e-72
2019-04-04 12:04:27,4.119487840178604e-73
2019-04-04 12:04:28,1.3731626133928681e-73
2019-04-04 12:04:29,4.5772087113095606e-74
2019-04-04 12:04:30,1.5257362371031869e-74
2019-04-04 12:04:31,5.085787457010623e-75
2019-04-04 12:04:32,1.6952624856702078e-75
2019-04-04 12:04:33,5.650874952234026e-76
2019-04-04 12:04:34,1.8836249840780088e-76
2019-04-04 12:04:35,6.278749946926696e-77
2019-04-04 12:04:36,2.0929166489755652e-77
2019-04-04 12:04:37,6.976388829918551e-78
2019-04-04 12:04:38,2.325462943306184e-78
2019-04-04 12:04:39,7.751543144353946e-79
2019-04-04 12:04:40,2.5838477147846485e-79
