h_m_s,TD
2019-04-04 15:05:09,74.78890756302522
2019-04-04 15:05:10,74.78890756302522
2019-04-04 15:05:11,74.78905982905984
2019-04-04 15:05:12,74.78905982905984
2019-04-04 15:05:13,74.78898305084746
2019-04-04 15:05:14,74.78890756302522
2019-04-04 15:05:15,74.78883333333334
2019-04-04 15:05:16,74.78876033057853
2019-04-04 15:05:17,74.78883333333334
2019-04-04 15:05:18,74.78883333333334
2019-04-04 15:05:19,74.78883333333334
2019-04-04 15:05:20,74.7889705882353
2019-04-04 15:05:21,74.78903703703705
2019-04-04 15:05:22,74.78903703703705
2019-04-04 15:05:23,74.78903703703705
2019-04-04 15:05:24,74.78903703703705
2019-04-04 15:05:25,74.78903703703705
2019-04-04 15:05:26,74.78903703703705
2019-04-04 15:05:27,74.78906474820144
2019-04-04 15:05:28,74.78906474820144
2019-04-04 15:05:29,74.78900709219859
2019-04-04 15:05:30,74.78900709219859
2019-04-04 15:05:31,74.78900709219859
2019-04-04 15:05:32,74.78907142857143
2019-04-04 15:05:33,74.78907142857143
2019-04-04 15:05:34,74.78907142857143
2019-04-04 15:05:35,74.78927007299271
2019-04-04 15:05:36,74.78933823529412
2019-04-04 15:05:37,74.78933823529412
2019-04-04 15:05:38,74.78940740740741
2019-04-04 15:05:39,74.78933823529412
2019-04-04 15:05:40,74.78940740740741
2019-04-04 15:05:41,74.78933823529412
2019-04-04 15:05:42,74.78933823529412
2019-04-04 15:05:43,74.78927007299271
2019-04-04 15:05:44,74.78933823529412
2019-04-04 15:05:45,74.78933823529412
2019-04-04 15:05:46,74.78933823529412
2019-04-04 15:05:47,74.78940740740741
2019-04-04 15:05:48,74.78940740740741
2019-04-04 15:05:49,74.78940740740741
2019-04-04 15:05:50,74.78942446043166
2019-04-04 15:05:51,74.78940740740741
2019-04-04 15:05:52,74.78940740740741
2019-04-04 15:05:53,74.78933823529412
2019-04-04 15:05:54,74.78933823529412
2019-04-04 15:05:55,74.78933823529412
2019-04-04 15:05:56,74.78940740740741
2019-04-04 15:05:57,74.78933823529412
2019-04-04 15:05:58,74.78940740740741
