h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 11:48:18,17.83,,57.24,63.36,71.54,,120.16,,12.0,9.27,49.08,,,68.94,,5.24,,,11.44,103.7,,,43.47,74.97,30.9,31.07,,32.1
2019-04-04 11:48:19,17.83,11.85,,63.36,,,,24.48,,9.27,49.08,,15.29,,,5.25,23.47,,11.44,103.7,260.71,,,74.97,,31.07,,
2019-04-04 11:48:20,17.83,11.85,,63.36,71.54,36.77,,24.48,12.0,9.27,49.08,,,68.95,14.12,,23.47,,,103.7,260.71,,43.47,74.97,30.9,31.07,24.46,32.1
2019-04-04 11:48:21,,11.85,,63.36,71.54,36.77,120.17,24.48,12.0,9.27,,,,68.95,,,23.47,,,103.7,260.71,,43.47,,30.9,31.08,24.46,
2019-04-04 11:48:22,,,57.24,,71.54,36.77,,24.48,12.0,,49.08,,15.29,68.95,14.12,,23.47,,,103.7,260.72,,43.47,74.97,30.9,31.08,24.46,32.1
2019-04-04 11:48:23,,11.85,,63.37,71.54,36.77,120.17,,12.0,,,,15.29,68.95,,5.25,,,,103.7,,,,74.97,30.9,31.08,,32.1
2019-04-04 11:48:24,,11.85,,63.37,71.54,,,,12.0,,,,,68.95,,,,,,103.7,,11.89,,74.97,30.9,31.08,24.46,32.1
2019-04-04 11:48:25,,,,63.36,71.54,36.77,120.16,,12.0,9.27,,,,,,,,,,103.7,260.73,,,,,31.08,24.46,32.1
2019-04-04 11:48:26,,,,63.36,71.53,,,,,,,,15.29,,,,23.47,,,103.7,260.73,,,,30.9,31.08,,
2019-04-04 11:48:27,,,,63.36,71.53,36.77,,,12.0,9.27,49.08,,15.29,68.95,,,,,,103.7,,,43.47,74.97,,31.08,,
2019-04-04 11:48:28,17.83,,57.24,63.37,71.53,36.77,120.15,,12.0,9.27,49.08,,15.29,68.95,14.12,,23.47,,,103.7,,,43.47,74.97,30.9,,24.46,32.1
2019-04-04 11:48:29,,,,,71.53,36.77,120.15,,12.0,,49.08,,,68.96,,,23.47,,,103.7,,,43.47,74.97,30.9,,24.46,
2019-04-04 11:48:30,,,57.24,,,36.77,120.15,24.48,12.0,9.27,,,,68.96,,,,,11.45,103.7,,,43.47,74.97,,31.09,,
2019-04-04 11:48:31,,11.85,,63.37,71.53,36.78,,24.48,,9.27,,,,68.95,,,,,11.45,,,,43.47,,30.9,,,
2019-04-04 11:48:32,,11.85,,,71.53,36.78,120.15,24.48,,9.27,,,15.29,,,,23.47,,,103.7,,,43.47,74.97,,31.09,,
2019-04-04 11:48:33,,,,,,36.78,120.13,,,9.27,49.08,,15.29,,,,23.47,,,103.7,,,43.47,,30.9,31.09,,
2019-04-04 11:48:34,,,,63.37,71.53,36.78,120.13,,,9.27,49.08,,,68.95,,,23.47,,,103.7,,,,74.97,30.9,31.09,,32.1
2019-04-04 11:48:35,17.83,,,63.37,71.53,36.78,120.13,,,,,,,68.95,,,23.47,,,,260.75,,,74.97,30.9,31.09,,32.1
2019-04-04 11:48:36,,11.85,57.24,,71.53,,,,,9.27,,,,,,5.25,23.47,,,,260.74,,43.47,74.97,30.9,31.09,,
2019-04-04 11:48:37,,11.85,57.24,63.36,71.52,36.74,,24.49,12.0,9.27,49.08,,,68.95,14.12,,23.47,,,103.69,260.74,,43.46,74.97,30.9,31.09,,32.1
2019-04-04 11:48:38,17.83,11.85,57.24,63.36,71.53,36.75,120.13,24.49,12.0,9.27,,,15.29,68.94,14.12,5.25,23.47,,11.45,103.69,,,43.46,74.97,30.89,31.09,,32.1
2019-04-04 11:48:39,17.83,11.85,57.24,63.36,71.52,36.75,,24.49,12.0,,49.08,,15.29,68.93,,,23.47,,11.45,,260.74,,43.46,74.97,30.89,31.09,24.46,32.1
2019-04-04 11:48:40,17.83,,57.24,63.37,71.53,36.75,120.13,,12.0,9.27,49.08,,15.29,68.94,,,23.47,,11.45,103.69,260.76,,43.47,74.97,,31.09,24.46,32.1
2019-04-04 11:48:41,,11.85,,,71.52,36.76,,,12.0,9.27,,,,68.94,,,23.47,,,103.69,260.76,,43.47,74.97,,,24.46,
2019-04-04 11:48:42,,11.85,,63.36,71.53,36.76,120.13,24.48,12.0,9.27,,,,68.92,14.12,,23.47,,,103.69,260.76,,43.47,74.97,30.89,31.09,24.46,32.09
2019-04-04 11:48:43,,11.85,57.24,63.36,71.51,36.76,120.13,24.49,12.0,9.27,,,,68.92,14.12,,23.47,,,103.69,260.76,,43.47,74.97,30.89,31.09,,32.09
2019-04-04 11:48:44,17.83,,57.24,63.36,71.51,36.77,120.13,,12.0,,,,15.29,68.93,14.12,,23.47,,,103.69,260.76,,,74.96,30.89,,,32.09
2019-04-04 11:48:45,,11.85,57.24,,71.51,36.78,,24.49,12.0,9.27,,,15.29,68.92,,,23.47,,,103.69,261.0,,43.47,74.96,30.89,31.09,,
2019-04-04 11:48:46,,11.85,57.24,63.36,71.5,36.77,,24.49,,9.27,,,,68.92,14.12,,23.47,,11.45,103.69,,,43.47,74.96,,31.08,24.46,32.09
