h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 12:00:31,17.82,11.92,,,,36.84,120.09,24.5,,,,,15.33,68.76,,,,1.26,,103.68,,,43.53,,,31.08,,
2019-04-04 12:00:32,,11.92,57.33,63.31,,36.84,120.09,24.5,,9.28,,,15.33,,,,23.46,1.26,,103.68,,,,74.92,30.85,,,32.08
2019-04-04 12:00:33,17.83,11.92,57.34,63.31,71.52,36.85,,24.5,12.02,9.28,49.06,,15.33,68.78,14.15,,23.46,1.26,,103.68,,,43.53,74.92,30.86,31.09,24.46,32.08
2019-04-04 12:00:34,17.83,11.92,57.34,63.32,71.52,36.85,120.1,,12.01,9.28,49.07,,15.33,68.77,14.15,,23.46,1.26,,103.69,,,43.54,74.92,30.86,31.09,24.46,
2019-04-04 12:00:35,17.83,11.92,,63.32,71.52,36.84,120.1,24.5,12.01,9.28,49.06,,15.33,68.76,14.15,,23.46,1.26,,103.69,,,43.53,74.92,30.85,31.1,24.46,32.08
2019-04-04 12:00:36,17.83,11.92,57.34,63.32,,,,,12.01,9.28,49.06,,15.33,68.77,14.15,5.27,,1.26,,103.69,,,43.53,74.92,30.85,31.1,,32.08
2019-04-04 12:00:37,17.83,11.92,57.34,63.32,,,,,,9.28,,,15.33,68.77,14.15,,23.46,1.26,,,,,43.53,,30.85,31.1,,
2019-04-04 12:00:38,17.83,11.92,,63.32,,36.84,,24.51,12.01,9.28,49.06,,15.33,,,5.27,,1.26,,,,,43.53,74.92,,,,
2019-04-04 12:00:39,,11.92,,63.32,,,,24.51,12.01,9.28,49.06,,15.33,68.77,14.15,,,1.26,,,,,43.53,,30.85,,,
2019-04-04 12:00:40,17.83,11.92,57.34,63.32,,36.84,,24.51,12.01,,,,,68.77,14.15,5.27,,1.26,11.46,103.69,260.45,,,74.92,30.85,31.1,,
