h_m_s,BNS
2019-04-04 13:27:20,-228.10508079891125
2019-04-04 13:27:21,-213.38862397317502
2019-04-04 13:27:22,-199.62161597490567
2019-04-04 13:27:23,-186.7428020410408
2019-04-04 13:27:24,-174.6948793287156
2019-04-04 13:27:25,-163.4242419526694
2019-04-04 13:27:26,-152.88074247185202
2019-04-04 13:27:27,-143.01746876399062
2019-04-04 13:27:28,-133.79053529534605
2019-04-04 13:27:29,-125.15888785693662
2019-04-04 13:27:30,-117.08412089842459
2019-04-04 13:27:31,-109.53030664691332
2019-04-04 13:27:32,-102.46383525033826
2019-04-04 13:27:33,-95.8532652341874
2019-04-04 13:27:34,-89.66918360617532
2019-04-04 13:27:35,-83.88407498642208
2019-04-04 13:27:36,-78.47219918084646
2019-04-04 13:27:37,-73.40947665304991
2019-04-04 13:27:38,-68.6733813851112
2019-04-04 13:27:39,-64.2428406505879
2019-04-04 13:27:40,-60.09814125377577
2019-04-04 13:27:41,-56.2208418180483
2019-04-04 13:27:42,-52.59369073301292
2019-04-04 13:27:43,-49.20054939539918
2019-04-04 13:27:44,-46.02632040214762
2019-04-04 13:27:45,-43.056880376202606
2019-04-04 13:27:46,-40.27901712612502
2019-04-04 13:27:47,-37.68037085992341
2019-04-04 13:27:48,-35.24937919154125
2019-04-04 13:27:49,-32.97522569531278
2019-04-04 13:27:50,-30.847791779486148
2019-04-04 13:27:51,-28.85761166468059
2019-04-04 13:27:52,-26.995830266959263
2019-04-04 13:27:53,-25.25416379812318
2019-04-04 13:27:54,-23.624862907921685
2019-04-04 13:27:55,-22.1006782041848
2019-04-04 13:27:56,-27.126440900689005
2019-04-04 13:27:57,-25.37634793935423
2019-04-04 13:27:58,-23.739164201331377
2019-04-04 13:27:59,-22.207605220600318
2019-04-04 13:28:00,-20.77485649669062
2019-04-04 13:28:01,-19.434543174323483
2019-04-04 13:28:02,-18.18070167920584
2019-04-04 13:28:03,-17.007753183773204
2019-04-04 13:28:04,-15.910478784820095
2019-04-04 13:28:05,-14.883996282573637
2019-04-04 13:28:06,-13.923738457891467
2019-04-04 13:28:07,-13.025432750930728
2019-04-04 13:28:08,-12.18508225087068
2019-04-04 13:28:09,-11.398947912104829
2019-04-04 13:28:10,-10.663531917775485
2019-04-04 13:28:11,-9.97556211662868
2019-04-04 13:28:12,-9.331977463942959
