h_m_s,CVE
2019-04-04 12:52:20,2.7978820750169002e-05
2019-04-04 12:52:21,-2.4938116525634557e-05
2019-04-04 12:52:22,5.066662072853885e-06
2019-04-04 12:52:23,0.0
2019-04-04 12:52:24,1.0434261105000175e-05
2019-04-04 12:52:25,2.9177855564237464e-06
2019-04-04 12:52:26,0.0
2019-04-04 12:52:27,0.0
2019-04-04 12:52:28,0.0
2019-04-04 12:52:29,0.0
2019-04-04 12:52:30,0.0
2019-04-04 12:52:31,0.0
2019-04-04 12:52:32,-1.519048872865731e-05
2019-04-04 12:52:33,0.0
2019-04-04 12:52:34,0.0
2019-04-04 12:52:35,0.0
2019-04-04 12:52:36,0.0
2019-04-04 12:52:37,0.0
2019-04-04 12:52:38,0.0
2019-04-04 12:52:39,-2.0795744031635808e-05
2019-04-04 12:52:40,0.0
2019-04-04 12:52:41,0.0
2019-04-04 12:52:42,0.0
2019-04-04 12:52:43,0.0
2019-04-04 12:52:44,1.543797796562077e-05
2019-04-04 12:52:45,0.0
2019-04-04 12:52:46,0.0
2019-04-04 12:52:47,0.0
2019-04-04 12:52:48,-1.5437739638136397e-05
2019-04-04 12:52:49,0.0
2019-04-04 12:52:50,0.0
2019-04-04 12:52:51,0.0
2019-04-04 12:52:52,0.0
2019-04-04 12:52:53,1.543797796562077e-05
2019-04-04 12:52:54,3.1843480172429864e-06
2019-04-04 12:52:55,0.0
2019-04-04 12:52:56,0.0
2019-04-04 12:52:57,0.0
2019-04-04 12:52:58,0.0
2019-04-04 12:52:59,2.8629826785653466e-05
2019-04-04 12:53:00,5.571050038474896e-05
2019-04-04 12:53:01,0.0
2019-04-04 12:53:02,0.0
2019-04-04 12:53:03,0.00011997306727065192
2019-04-04 12:53:04,0.0
2019-04-04 12:53:05,-0.00013781566916638073
2019-04-04 12:53:06,0.0
2019-04-04 12:53:07,-2.6692120272469817e-05
2019-04-04 12:53:08,0.0
2019-04-04 12:53:09,3.651579521678988e-05
2019-04-04 12:53:10,-0.00012819757235611986
2019-04-04 12:53:11,-2.297764118845678e-05
2019-04-04 12:53:12,5.531781467591851e-06
2019-04-04 12:53:13,0.0
2019-04-04 12:53:14,0.0
2019-04-04 12:53:15,0.0
2019-04-04 12:53:16,0.0
2019-04-04 12:53:17,0.0
2019-04-04 12:53:18,0.0
2019-04-04 12:53:19,0.0
2019-04-04 12:53:20,0.0
2019-04-04 12:53:21,0.00010914275648434987
2019-04-04 12:53:22,0.0
2019-04-04 12:53:23,0.0
2019-04-04 12:53:24,0.0
2019-04-04 12:53:25,0.0
2019-04-04 12:53:26,0.0
2019-04-04 12:53:27,0.0
2019-04-04 12:53:28,4.455276449893216e-05
2019-04-04 12:53:29,1.8975332068293937e-05
2019-04-04 12:53:30,0.0
2019-04-04 12:53:31,0.0
2019-04-04 12:53:32,0.0001085368399082048
2019-04-04 12:53:33,7.950553915355195e-07
2019-04-04 12:53:34,0.0
2019-04-04 12:53:35,5.9629106954793195e-05
2019-04-04 12:53:36,1.794699436780327e-05
2019-04-04 12:53:37,0.0
2019-04-04 12:53:38,-2.658343700559147e-06
2019-04-04 12:53:39,0.0
2019-04-04 12:53:40,0.0
2019-04-04 12:53:41,-0.00018866498186665445
2019-04-04 12:53:42,-2.4407285675929356e-05
2019-04-04 12:53:43,0.0001110762112398491
2019-04-04 12:53:44,0.0
2019-04-04 12:53:45,0.0
2019-04-04 12:53:46,0.0
2019-04-04 12:53:47,0.0
2019-04-04 12:53:48,-0.0003912346955164774
2019-04-04 12:53:49,-1.4099116791054033e-05
