h_m_s,RY
2019-04-04 13:11:11,103.5125
2019-04-04 13:11:12,103.511
2019-04-04 13:11:13,103.511
2019-04-04 13:11:14,103.511
2019-04-04 13:11:15,103.511
2019-04-04 13:11:16,103.511
2019-04-04 13:11:17,103.511
2019-04-04 13:11:18,103.511
2019-04-04 13:11:19,103.511
2019-04-04 13:11:20,103.5125
2019-04-04 13:11:21,103.5125
2019-04-04 13:11:22,103.5125
2019-04-04 13:11:23,103.5125
2019-04-04 13:11:24,103.5125
2019-04-04 13:11:25,103.5125
2019-04-04 13:11:26,103.5125
2019-04-04 13:11:27,103.511
2019-04-04 13:11:28,103.511
2019-04-04 13:11:29,103.511
2019-04-04 13:11:30,103.51375
2019-04-04 13:11:31,103.513
2019-04-04 13:11:32,103.51125
2019-04-04 13:11:33,103.51125
2019-04-04 13:11:34,103.51363636363637
2019-04-04 13:11:35,103.513
2019-04-04 13:11:36,103.513
2019-04-04 13:11:37,103.51125
2019-04-04 13:11:38,103.51125
2019-04-04 13:11:39,103.51125
2019-04-04 13:11:40,103.51125
2019-04-04 13:11:41,103.51125
2019-04-04 13:11:42,103.51125
2019-04-04 13:11:43,103.51125
2019-04-04 13:11:44,103.50333333333333
2019-04-04 13:11:45,103.503
2019-04-04 13:11:46,103.50333333333333
2019-04-04 13:11:47,103.50375
2019-04-04 13:11:48,103.50714285714285
2019-04-04 13:11:49,103.5075
2019-04-04 13:11:50,103.5075
2019-04-04 13:11:51,103.51461538461538
2019-04-04 13:11:52,103.51222222222222
2019-04-04 13:11:53,103.51125
2019-04-04 13:11:54,103.51125
2019-04-04 13:11:55,103.51333333333334
2019-04-04 13:11:56,103.51333333333334
2019-04-04 13:11:57,103.512
2019-04-04 13:11:58,103.51222222222222
2019-04-04 13:11:59,103.51222222222222
2019-04-04 13:12:00,103.51416666666667
2019-04-04 13:12:01,103.51416666666667
2019-04-04 13:12:02,103.51416666666667
2019-04-04 13:12:03,103.51416666666667
2019-04-04 13:12:04,103.51416666666667
2019-04-04 13:12:05,103.51222222222222
2019-04-04 13:12:06,103.51125
2019-04-04 13:12:07,103.51125
2019-04-04 13:12:08,103.51125
2019-04-04 13:12:09,103.51125
2019-04-04 13:12:10,103.51125
2019-04-04 13:12:11,103.51125
2019-04-04 13:12:12,103.51588235294118
2019-04-04 13:12:13,103.51416666666667
2019-04-04 13:12:14,103.51416666666667
2019-04-04 13:12:15,103.51416666666667
2019-04-04 13:12:16,103.51222222222222
2019-04-04 13:12:17,103.51222222222222
2019-04-04 13:12:18,103.513
2019-04-04 13:12:19,103.51222222222222
2019-04-04 13:12:20,103.51222222222222
2019-04-04 13:12:21,103.51222222222222
2019-04-04 13:12:22,103.51222222222222
2019-04-04 13:12:23,103.51222222222222
2019-04-04 13:12:24,103.51125
2019-04-04 13:12:25,103.51125
2019-04-04 13:12:26,103.51125
2019-04-04 13:12:27,103.51125
2019-04-04 13:12:28,103.51125
2019-04-04 13:12:29,103.51125
2019-04-04 13:12:30,103.51125
2019-04-04 13:12:31,103.51125
2019-04-04 13:12:32,103.51125
2019-04-04 13:12:33,103.51125
2019-04-04 13:12:34,103.51125
2019-04-04 13:12:35,103.51125
2019-04-04 13:12:36,103.51125
2019-04-04 13:12:37,103.51125
2019-04-04 13:12:38,103.51125
2019-04-04 13:12:39,103.51125
