h_m_s,WPM
2019-04-04 14:14:26,-3.496993739725581e-11
2019-04-04 14:14:27,-1.165664579908527e-11
2019-04-04 14:14:28,-3.88554859969509e-12
2019-04-04 14:14:29,-1.29518286656503e-12
2019-04-04 14:14:30,-4.3172762218834334e-13
2019-04-04 14:14:31,-1.4390920739611444e-13
2019-04-04 14:14:32,-4.796973579870481e-14
2019-04-04 14:14:33,-1.5989911932901602e-14
2019-04-04 14:14:34,-5.329970644300534e-15
2019-04-04 14:14:35,-1.7766568814335115e-15
2019-04-04 14:14:36,-5.922189604778372e-16
2019-04-04 14:14:37,-1.9740632015927906e-16
2019-04-04 14:14:38,-6.580210671975969e-17
2019-04-04 14:14:39,-2.193403557325323e-17
2019-04-04 14:14:40,-7.31134519108441e-18
2019-04-04 14:14:41,-2.4371150636948034e-18
2019-04-04 14:14:42,-8.123716878982678e-19
2019-04-04 14:14:43,-2.7079056263275596e-19
2019-04-04 14:14:44,-9.026352087758532e-20
2019-04-04 14:14:45,-3.008784029252844e-20
2019-04-04 14:14:46,-1.002928009750948e-20
2019-04-04 14:14:47,-3.3430933658364933e-21
2019-04-04 14:14:48,-1.1143644552788312e-21
2019-04-04 14:14:49,-3.7145481842627704e-22
2019-04-04 14:14:50,-1.2381827280875901e-22
2019-04-04 14:14:51,-66.66666666666667
2019-04-04 14:14:52,-22.222222222222225
2019-04-04 14:14:53,-7.407407407407408
2019-04-04 14:14:54,-2.469135802469136
2019-04-04 14:14:55,-0.8230452674897121
2019-04-04 14:14:56,-0.2743484224965707
2019-04-04 14:14:57,-0.09144947416552357
2019-04-04 14:14:58,-0.030483158055174524
2019-04-04 14:14:59,-0.010161052685058175
2019-04-04 14:15:00,-0.0033870175616860583
2019-04-04 14:15:01,-0.0011290058538953528
2019-04-04 14:15:02,-0.0003763352846317843
2019-04-04 14:15:03,-0.00012544509487726142
2019-04-04 14:15:04,-4.1815031625753806e-05
2019-04-04 14:15:05,-1.3938343875251268e-05
2019-04-04 14:15:06,-4.646114625083756e-06
2019-04-04 14:15:07,-1.5487048750279185e-06
2019-04-04 14:15:08,-5.162349583426395e-07
2019-04-04 14:15:09,-1.7207831944754651e-07
2019-04-04 14:15:10,-5.7359439815848836e-08
2019-04-04 14:15:11,-1.911981327194961e-08
2019-04-04 14:15:12,-6.37327109064987e-09
2019-04-04 14:15:13,-2.12442369688329e-09
2019-04-04 14:15:14,-7.081412322944301e-10
2019-04-04 14:15:15,-2.360470774314767e-10
2019-04-04 14:15:16,-7.868235914382557e-11
2019-04-04 14:15:17,-2.6227453047941856e-11
2019-04-04 14:15:18,-8.742484349313952e-12
2019-04-04 14:15:19,-2.9141614497713175e-12
2019-04-04 14:15:20,-9.713871499237725e-13
2019-04-04 14:15:21,-3.237957166412575e-13
2019-04-04 14:15:22,-1.0793190554708583e-13
2019-04-04 14:15:23,-3.597730184902861e-14
2019-04-04 14:15:24,-1.1992433949676203e-14
2019-04-04 14:15:25,-3.9974779832254006e-15
2019-04-04 14:15:26,-1.3324926610751336e-15
2019-04-04 14:15:27,-4.441642203583779e-16
2019-04-04 14:15:28,-1.480547401194593e-16
2019-04-04 14:15:29,-4.9351580039819766e-17
2019-04-04 14:15:30,-1.6450526679939922e-17
2019-04-04 14:15:31,-5.4835088933133075e-18
2019-04-04 14:15:32,-1.8278362977711026e-18
2019-04-04 14:15:33,-6.0927876592370085e-19
2019-04-04 14:15:34,-2.0309292197456696e-19
2019-04-04 14:15:35,-6.769764065818899e-20
2019-04-04 14:15:36,-2.256588021939633e-20
2019-04-04 14:15:37,-7.52196007313211e-21
2019-04-04 14:15:38,-2.50732002437737e-21
2019-04-04 14:15:39,-8.357733414591233e-22
2019-04-04 14:15:40,-333.3333333333333
2019-04-04 14:15:41,88.8888888888889
2019-04-04 14:15:42,29.629629629629633
2019-04-04 14:15:43,9.876543209876544
2019-04-04 14:15:44,3.2921810699588483
2019-04-04 14:15:45,1.0973936899862828
2019-04-04 14:15:46,0.3657978966620943
2019-04-04 14:15:47,0.1219326322206981
2019-04-04 14:15:48,0.0406442107402327
2019-04-04 14:15:49,0.013548070246744233
2019-04-04 14:15:50,0.004516023415581411
2019-04-04 14:15:51,0.0015053411385271371
2019-04-04 14:15:52,0.0005017803795090457
2019-04-04 14:15:53,0.00016726012650301522
2019-04-04 14:15:54,5.575337550100507e-05
2019-04-04 14:15:55,1.8584458500335023e-05
2019-04-04 14:15:56,6.194819500111674e-06
2019-04-04 14:15:57,2.064939833370558e-06
2019-04-04 14:15:58,6.883132777901861e-07
2019-04-04 14:15:59,2.2943775926339534e-07
2019-04-04 14:16:00,7.647925308779844e-08
2019-04-04 14:16:01,2.549308436259948e-08
2019-04-04 14:16:02,8.49769478753316e-09
2019-04-04 14:16:03,2.8325649291777203e-09
2019-04-04 14:16:04,9.441883097259068e-10
2019-04-04 14:16:05,3.1472943657530227e-10
2019-04-04 14:16:06,1.0490981219176742e-10
2019-04-04 14:16:07,-133.33333333329836
2019-04-04 14:16:08,-44.44444444443278
2019-04-04 14:16:09,-14.814814814810928
2019-04-04 14:16:10,-4.938271604936976
